mongodb_id,shortname,start_date,end_date,legal_description,active,airline_id,created_at,updated_at

  55803c5a6a756127cd000000,South African Airways,2015-05-20T00:00:00+00:00,2018-05-20T00:00:00+00:00,"",true,951,2015-06-16 15:10:18 UTC,2015-06-16 15:10:49 UTC

  556258f47765623a29290000,TAM MERCOSUR,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"PROMOCIONES DE CUOTAS SIN INTERES, NO ES ACUMULABLE CON OTRAS PROMOCIONES. NO VÁLIDA PARA TARJETAS CORPORATE, BUSINESS Y EXECUTIVE
 ",true,971,2015-05-24 23:04:20 UTC,2015-05-27 19:21:27 UTC

  555e27047765623a29000000,Avianca,2015-01-01T00:00:00+00:00,2016-01-31T00:00:00+00:00,"",true,933,2015-05-21 18:42:12 UTC,2015-05-21 18:47:42 UTC

  5554f26e77656254bf130000,LAN ARGENTINA,2015-01-01T00:00:00+00:00,2016-12-31T00:00:00+00:00,"Les informamos que mañana, 15MAY, arranca el HOT SALE. Nosotros haremos extensiva la promocion publicando tarifas promocionales para emitir del 15May al 26May inclusive.
Acompañaremos todas las ventas con nuestros planes de cuotas vigentes pero sumamos a MASTERCARD de todos los Bancos con 12 cuotas sin interés.
 
Les copio un resumen de destinos y tarifas, tambien los codigos de comercio y en el archivo adjunto todo el detalle.
Mastercard 12 cuotas sin interes!!! todos los Bancos
Visa 12 cuotas sin interes!! Banco Frances, Ciudad, Provincia, Supervielle, Itau",true,970,2015-05-14 19:07:26 UTC,2015-05-14 19:43:36 UTC

  554fdf8777656204aaf20200,Alitalia,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,934,2015-05-10 22:45:27 UTC,2015-05-12 19:03:26 UTC

  554fddc377656204aacf0200,KL,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,962,2015-05-10 22:37:55 UTC,2015-05-12 19:58:25 UTC

  554fdc0777656204aab20200,Andes,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,948,2015-05-10 22:30:31 UTC,2015-05-12 19:58:33 UTC

  554fda6e77656204aa8e0200,Air France,2015-01-01T00:00:00+00:00,2017-12-31T00:00:00+00:00,"",true,930,2015-05-10 22:23:42 UTC,2015-05-10 22:30:05 UTC

  554fb8b977656204aa680200,Air Europa,2015-01-01T00:00:00+00:00,2017-12-31T00:00:00+00:00,"A todos los bines indicados:
 
-Visa: 456582, 456583, 456584, 463483, 463482, 485904, 493461, 416414, 486510, 416415, 416416, 416417, 453562, 433815, 456514, 446866, 424989, 456513, 492307, 492306, 498484, 433832, 493718, 486663, 492306.
 
-Master: 547773, 542719, 526810, 553672, 514954, 549028, 547828, 543885, 538807, 553673, 517942, 549016, 543855, 537838, 553641, 547810, 543806, 537831, 511657, 553640, 514904.
 
 
Les recordamos también que los siguientes bines compartidos de Master del Nuevo Banco de Santa Fe NO aplican para la promo:
 
FIRST DATA – Bines Compartidos
 
NUEVO BANCO DE SANTA FE
532369
MC Nacional
NUEVO BANCO DE SANTA FE
539909
MC Internacional
NUEVO BANCO DE SANTA FE
532379
MC Gold
NUEVO BANCO DE SANTA FE
553443
MC Regional Corporativa
NUEVO BANCO DE SANTA FE
547294
MC Internacional Corporativa

     Les informo que extendemos cuotas sin interés con BANCO PROVINCIA hasta el día 30 de junio de 2015.
  promoción de 12 cuotas sin interés de VISA y MASTER de Banco Provincia",true,955,2015-05-10 19:59:53 UTC,2015-05-12 18:45:54 UTC

  554fb85677656204aa5f0200,HAHN AIR ,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,SOLO EFECTIVO,true,966,2015-05-10 19:58:14 UTC,2015-05-12 19:58:11 UTC

  554fb80d77656204aa560200,Singapore Airlines,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,965,2015-05-10 19:57:01 UTC,2015-05-12 19:59:32 UTC

  554fb7c677656204aa4d0200,Swiss Air Lines,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,945,2015-05-10 19:55:50 UTC,2015-05-12 20:00:21 UTC

  554fb76a77656204aa3f0200,Malaysia Airlines,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,947,2015-05-10 19:54:18 UTC,2015-05-12 20:00:57 UTC

  554fb70577656204aa360200,Korean Airline,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,961,2015-05-10 19:52:37 UTC,2015-05-12 20:01:24 UTC

  554fb6b277656204aa2d0200,TAP Air Portugal,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00, SOLO EFECTIVO,true,953,2015-05-10 19:51:14 UTC,2015-05-12 20:01:43 UTC

  554fb65e77656204aa240200,Cubana de aviación,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"****SOLO EFECTIVO*****
Aplica usd 15 de fee de emision - VERIFICAR REGULACIONES EN AMADEUS. SI TU SISTEMA NO TE OFRECE LUGAR CONTACTANOS PARA CONFIRMAR LA RESERVA.",true,938,2015-05-10 19:49:50 UTC,2015-05-12 19:43:15 UTC

  554fb54577656204aa0c0200,BOA,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"VISA POR TELEFONO
 DNI OBLIGATORIO",true,964,2015-05-10 19:45:09 UTC,2015-05-10 19:49:33 UTC

  554fb3ef77656204aae40100,TACA,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,952,2015-05-10 19:39:27 UTC,2015-05-10 19:44:33 UTC

  554fb11677656204aab30100,Conviasa,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,959,2015-05-10 19:27:18 UTC,2015-05-10 19:34:46 UTC

  554fafdc77656204aa860100,Delta Airlines,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,968,2015-05-10 19:22:04 UTC,2015-05-10 19:25:55 UTC

  554faeac77656204aa780100,El Al,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,946,2015-05-10 19:17:00 UTC,2015-05-10 19:21:40 UTC

  554fad6977656204aa5a0100,Sky airlines,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,960,2015-05-10 19:11:37 UTC,2015-05-10 19:16:37 UTC

  554fabf777656204aa3c0100,South African Airways,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,951,2015-05-10 19:05:27 UTC,2015-05-10 19:10:38 UTC

  554faae977656204aa2d0100,Sol Lineas Aereas,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"",true,927,2015-05-10 19:00:57 UTC,2015-05-10 19:05:17 UTC

  554fa83d77656204aa0d0100,United Airlines,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"La promoción vigente con el Banco ICBC, se extiende hasta el 30 de Junio de 2015. Dicha promoción, ofrece hasta 6 cuotas sin interés para las tarjetas Visa y MasterCard.",true,954,2015-05-10 18:49:33 UTC,2015-05-12 20:07:48 UTC

  554fa76177656204aafc0000,Turkish Airlines,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00, AMEX SOLO EN UN PAGO,true,957,2015-05-10 18:45:53 UTC,2015-05-24 22:38:50 UTC

  554fa52377656204aad80000,TAME,2015-01-01T00:00:00+00:00,2018-12-31T00:00:00+00:00,"LOS GDS PERMITEN EMISION EN 3 / 6 / 9 / 12 CUOTAS SOLAMENTE
",true,967,2015-05-10 18:36:19 UTC,2015-05-12 20:10:15 UTC

  554fa07e77656204aaae0000,TAM Linhas Aereas,2015-03-15T00:00:00+00:00,2018-03-15T00:00:00+00:00," Los GDS solo permiten emision en 3, 6, 9 y 12 cuotas
MASTER
PROMOCIÓN 3, 6, 9 Y 12 CUOTAS SIN INTERÉS VÁLIDA DEL 15/05/2015 AL 26/05/2015 INCLUSIVE CON TARJETAS DE CRÉDITO MASTERCARD EMITIDAS EN LA REPÚBLICA ARGENTINA. CONSULTE CON SU BANCO EMISOR LA EVENTUAL APLICACIÓN DE CARGOS Y/ O SEGUROS ASOCIADOS A LA OPERATORIA EN CUOTAS. NO ACUMULABLE CON OTRAS PROMOCIONES. NO VÁLIDA PARA TARJETAS CORPORATE, BUSINESS Y EXECUTIVE
 ",true,942,2015-05-10 18:16:30 UTC,2015-05-14 19:49:37 UTC

  554f868777656204aa190000,British Airways,2015-01-01T00:00:00+00:00,2015-12-31T00:00:00+00:00,"LES INFORMAMOS QUE NUESTRA PROMOCION DE EMISION CON TARJETA MASTERCARD EN 6 Y 12 CUOTAS

SIN INTERES SE HA EXTENDIDO PARA EMISIONES HASTA EL 30 JUNIO 2015 PARA AMBAS CIAS .

EL RESTO DE LAS CONDICIONES PARA IBERIA SON LAS ENVIADAS EL 15SEP2014 Y PARA BRITISH AIRWAYS LAS QUE FIGURAN EN www.speedbirdclub.com

 

ROGAMOS TOMAR NOTA

MUCHAS GRACIAS  

 ",true,935,2015-05-10 16:25:43 UTC,2015-05-12 19:35:27 UTC

  554d48ed776562d850710000,Emirates,2015-01-01T00:00:00+00:00,2016-12-31T00:00:00+00:00,"",true,940,2015-05-08 23:38:21 UTC,2015-05-08 23:43:33 UTC

  554d46e4776562d850490000,Qatar,2015-01-01T00:00:00+00:00,2016-12-31T00:00:00+00:00,"",true,950,2015-05-08 23:29:40 UTC,2015-05-08 23:50:11 UTC

  554d43f9776562d8501d0000,Qantas,2015-01-01T00:00:00+00:00,2016-12-31T00:00:00+00:00,"",true,949,2015-05-08 23:17:13 UTC,2015-05-08 23:29:18 UTC

  554a5d057765628e4a110000,Air Canada,2014-01-01T00:00:00+00:00,2016-12-31T00:00:00+00:00,"",true,929,2015-05-06 18:27:17 UTC,2015-05-06 19:04:59 UTC

  554a486d7765628e4a010000,GOL,2015-05-01T00:00:00+00:00,2015-12-31T00:00:00+00:00,"No hay coeficientes ya que las promo de pagos son sin interés. 
Las promos con las tarjetas son como sigue:

VISA MASTER y DINERS hasta en 6 cuotas SIN INTERES (todos los bancos)
AMEX hasta en 12 cuotas SIN INTERES (todos los bancos y AMEX pura)
NO INCLUYE EL PAGO EN CUOTAS PARA COTIZACIONES DE GRUPOS.",true,958,2015-05-06 16:59:25 UTC,2015-05-12 19:57:31 UTC

  55380a1d77656204b3000000,Aerolineas Argentinas,2015-04-01T00:00:00+00:00,2015-07-01T00:00:00+00:00,"PARA CONSULTA DE BINES
http://agencias.aerolineas.com.ar/main.asp?idSitio=&idPagina=1027&idIdioma=es&subSecc=3
",true,932,2015-04-22 20:52:45 UTC,2015-05-12 18:28:39 UTC

  550b2c297765621162260000,Lufthansa,2015-01-01T00:00:00+00:00,2015-12-31T00:00:00+00:00,"",true,944,2015-03-19 20:06:01 UTC,2015-05-12 20:39:26 UTC

  550b213077656211620c0000,Copa Airlines,2015-03-01T00:00:00+00:00,2015-06-30T00:00:00+00:00,"",true,936,2015-03-19 19:19:12 UTC,2015-05-10 16:52:54 UTC

  550b202f77656211620a0000,Iberia,2015-03-15T00:00:00+00:00,2017-04-15T00:00:00+00:00,"",true,941,2015-03-19 19:14:55 UTC,2015-05-10 16:25:26 UTC

  550b170b7765621162020000,American Airlines,2015-01-01T00:00:00+00:00,2015-12-25T00:00:00+00:00,"",true,928,2015-03-19 18:35:55 UTC,2015-05-12 19:27:52 UTC

  550878fa776562049b070000,Aeromexico,2014-01-01T00:00:00+00:00,2015-12-31T00:00:00+00:00,"PARA VENTAS HASTA EL
 
31 DICIEMBRE 2015
Aplica para tarjetas de todos los bancos.
 
PLAN DE CUOTAS AM
 
ACUERDO DE POLÍTICAS
PROCEDIMIENTO AEROMEXICOBUE
Política válida para emisiones realizadas a partir de 01/01/2014
1.  TASAS:
Tasas vigentes a partir de autorizaciones de 01/01/2014.
 
2.  COEFICIENTE:
Es el factor a aplicar sobre el precio de contado.
 
3.  PLAN DE CUOTAS SIN INTERESES HASTA 31/12/2014:
Plan de 02 hasta 06 cuotas sin intereses para emisiones con tarjeta de crédito AMEX/DINERS/MASTER y VISA.
 
4.  EJEMPLO PRÁCTICO DE UNA VENTA EN PLAN DE CUOTAS AM (7 CUOTAS):
Precio de la venta contado: $ 100;
Coeficiente: 1.1988;
Se multiplica $ 100 x 1.2384 = $ 123.84 (Importe total de la venta en 7 cuotas => $ 123.84;
Monto de cada cuota para el socio: $17.70 (123.84 / 7).
 ",true,931,2015-03-17 18:56:58 UTC,2015-05-12 15:12:08 UTC

  55087483776562049b010000,LAN,0006-01-01T00:00:00+00:00,2018-03-15T00:00:00+00:00,"PROMOCIONES DE CUOTAS SIN INTERES, NO ES ACUMULABLE CON OTRAS PROMOCIONES. NO VÁLIDA PARA TARJETAS CORPORATE, BUSINESS Y EXECUTIVE
 ",true,943,2015-03-17 18:37:55 UTC,2015-05-27 19:17:04 UTC

